id	symbol	chr	strand	nprots	ntrans	SV	WT	SV_prots	WT_prots	min_skipped_exon	max_skipped_exon	min_skipped_bases	max_skipped_bases
ENSG00000205084	TMEM231	16	-	5	9	75576582:75579724	75576582:75579250|75579394:75579724	ENSP00000457254	ENSP00000258173|ENSP00000476267	1	1	144	144
ENSG00000063177	RPL18	19	-	9	16	49120681:49122398	49120681:49121048|49121135:49122398	ENSP00000449204	ENSP00000447001|ENSP00000448899|ENSP00000449610|ENSP00000470988	1	1	87	87
ENSG00000226257	STK19	HSCHR6_MHC_DBB	+	4	13	31922475:31928864	31922475:31922584|31922721:31928864	ENSP00000428007	ENSP00000389352|ENSP00000413766|ENSP00000446620	1	1	137	137
ENSG00000134697	GNL2	1	-	2	9	38042158:38047824	38042158:38046943|38047147:38047824	ENSP00000362153	ENSP00000441288	1	1	204	204
ENSG00000047849	MAP4	3	-	13	18	48019424:48040128	48019424:48028873|48028924:48040128	ENSP00000353375|ENSP00000373243|ENSP00000379083|ENSP00000397414|ENSP00000402767|ENSP00000415689	ENSP00000407602	1	1	51	51
ENSG00000133961	NUMB	14	-	20	33	73749214:73753818	73749214:73750789|73751083:73753818	ENSP00000394025|ENSP00000452069|ENSP00000453209	ENSP00000347169|ENSP00000348644|ENSP00000352563|ENSP00000441258|ENSP00000451117|ENSP00000451300|ENSP00000451513|ENSP00000451625|ENSP00000452416	1	1	294	294
ENSG00000119042	SATB2	2	-	6	10	200246544:200320592	200246544:200298061|200298238:200320592	ENSP00000388764	ENSP00000260926|ENSP00000401112|ENSP00000405420	1	1	177	177
ENSG00000119638	NEK9	14	-	5	11	75587878:75593406	75587878:75590749|75590927:75593406	ENSP00000451604	ENSP00000238616	1	1	178	178
ENSG00000128604	IRF5	7	+	11	13	128587111:128587783	128587111:128587284|128587111:128587332|128587590:128587783	ENSP00000419950	ENSP00000249375|ENSP00000349770|ENSP00000385352|ENSP00000419149	1	1	258	306
ENSG00000171611	PTCRA	6	+	3	3	42883866:42891967	42883866:42889956|42883866:42890765|42889999:42890883|42891086:42891967	ENSP00000392288	ENSP00000304447|ENSP00000409550	1	2	246	321
ENSG00000182771	GRID1	10	-	3	4	87373405:87406959	87373405:87379624|87379791:87406959	ENSP00000433064	ENSP00000330148|ENSP00000444455	1	1	167	167
ENSG00000100167	SEPT3	22	+	7	8	42377841:42383626	42377841:42381988|42382117:42383210|42383292:42383626	ENSP00000332866|ENSP00000379695	ENSP00000379703|ENSP00000379704|ENSP00000391416	2	2	211	211
ENSG00000162723	SLAMF9	1	-	2	4	159921657:159923099	159921657:159922052|159922325:159923099	ENSP00000357071	ENSP00000357072	1	1	273	273
ENSG00000179912	R3HDM2	12	-	10	16	57677840:57689182	57677840:57682640|57677840:57682792|57682694:57682792|57682824:57689182|57682824:57686355|57682824:57689182|57686433:57689182|57686451:57689182	ENSP00000409146	ENSP00000317903|ENSP00000351784|ENSP00000385169|ENSP00000385839|ENSP00000394676|ENSP00000450411	1	2	32	128
ENSG00000170632	ARMC10	7	+	10	11	102724278:102727077	102724278:102724477|102724510:102727077	ENSP00000319412|ENSP00000319798|ENSP00000396654|ENSP00000397969|ENSP00000405612|ENSP00000413619|ENSP00000440463	ENSP00000398201	1	1	33	33
ENSG00000089505	CMTM1	16	+	21	21	66600498:66611007	66600498:66603839|66603998:66611007	ENSP00000337119|ENSP00000432687	ENSP00000405729|ENSP00000432398	1	1	159	159
ENSG00000141503	MINK1	17	+	7	13	4795530:4795951	4795530:4795697|4795808:4795951	ENSP00000269296	ENSP00000347427|ENSP00000406487	1	1	111	111
ENSG00000186115	CYP4F2	19	-	5	8	15990239:15996734	15990239:15990414|15990479:15990574|15990708:15996734	ENSP00000467846	ENSP00000221700	2	2	199	199
ENSG00000146263	MMS22L	6	-	6	12	97702610:97715748	97702610:97711211|97711325:97715748	ENSP00000427288	ENSP00000275053|ENSP00000358254	1	1	114	114
ENSG00000124092	CTCFL	20	-	19	22	56083845:56093814	56083845:56087648|56087809:56089648|56087809:56090770|56089798:56090770|56090891:56093814	ENSP00000409344	ENSP00000243914|ENSP00000360239|ENSP00000392034|ENSP00000399061|ENSP00000415329|ENSP00000415579|ENSP00000437999|ENSP00000439998|ENSP00000476398|ENSP00000476458|ENSP00000476718|ENSP00000476783|ENSP00000477488	2	3	282	432
ENSG00000163754	GYG1	3	+	7	13	148714680:148741840	148714680:148727063|148727190:148741840	ENSP00000419499	ENSP00000420247	1	1	127	127
ENSG00000117115	PADI2	1	-	3	5	17410333:17413016	17410333:17411094|17411198:17413016	ENSP00000405894	ENSP00000364630|ENSP00000364635	1	1	104	104
ENSG00000243660	ZNF487	10	+	5	7	43971296:43976877	43971296:43971555|43971651:43976877	ENSP00000395343	ENSP00000314093|ENSP00000388421|ENSP00000392335	1	1	96	96
ENSG00000153157	SYCP2L	6	+	4	7	10903197:10910381	10903197:10906253|10906288:10907775|10907918:10910381	ENSP00000417870	ENSP00000283141|ENSP00000340320|ENSP00000440676	2	2	178	178
ENSG00000101019	UQCC1	20	-	19	27	33954418:33981895	33954418:33969721|33954418:33961987|33954418:33969729|33962060:33969721|33962060:33981895|33969829:33971841|33969829:33981895|33971937:33981895|33971937:33980039|33971937:33981895|33980081:33981895	ENSP00000363497|ENSP00000411024	ENSP00000335364|ENSP00000363501|ENSP00000363505|ENSP00000363506|ENSP00000380686|ENSP00000398531|ENSP00000399713|ENSP00000416246	1	4	73	319
ENSG00000067334	DNTTIP2	1	-	3	7	94338771:94341824	94338771:94341201|94341340:94341824	ENSP00000352137	ENSP00000411010	1	1	139	139
ENSG00000008226	DLEC1	3	+	4	8	38125737:38129787	38125737:38126765|38126939:38127732|38127869:38129787	ENSP00000404261	ENSP00000308597|ENSP00000315914|ENSP00000410427	2	2	311	311
ENSG00000185842	DNAH14	1	+	15	19	225458569:225460657	225458569:225459608|225459776:225460657	ENSP00000328980	ENSP00000392061|ENSP00000414402	1	1	168	168
ENSG00000138029	HADHB	2	+	7	9	26486348:26496519	26486348:26492821|26492866:26496519	ENSP00000444295	ENSP00000325136|ENSP00000385411|ENSP00000404633|ENSP00000415300|ENSP00000442665	1	1	45	45
ENSG00000140307	GTF2A2	15	-	6	10	59934462:59944405	59934462:59942868|59942964:59944405|59942973:59944405	ENSP00000418574	ENSP00000379372|ENSP00000379373|ENSP00000379375|ENSP00000452648	1	1	96	105
ENSG00000157349	DDX19B	16	+	13	16	70333258:70349872	70333258:70348805|70333258:70346512|70333258:70348805|70346561:70348805|70348859:70349872	ENSP00000455193	ENSP00000288071|ENSP00000348271|ENSP00000457633|ENSP00000459407	1	2	54	103
ENSG00000136436	CALCOCO2	17	+	14	28	46933550:46937676	46933550:46933941|46933979:46937676	ENSP00000258947|ENSP00000398523|ENSP00000406974|ENSP00000423437|ENSP00000424352	ENSP00000429963	1	1	38	38
ENSG00000142892	PIGK	1	-	5	6	77632516:77684995	77632516:77634945|77632516:77676121|77635081:77672325|77672417:77676121|77676175:77684995	ENSP00000388854	ENSP00000352041|ENSP00000359848|ENSP00000359849	1	3	54	282
ENSG00000162627	SNX7	1	+	5	6	99156742:99161074	99156742:99157091|99157256:99161074	ENSP00000434731	ENSP00000304429|ENSP00000359208	1	1	165	165
ENSG00000144504	ANKMY1	2	-	18	26	241420515:241439375	241420515:241421600|241421679:241439375	ENSP00000385267	ENSP00000272972|ENSP00000355097|ENSP00000362415|ENSP00000362417|ENSP00000375847|ENSP00000383968|ENSP00000384555|ENSP00000385887	1	1	79	79
ENSG00000204655	MOG	6	+	17	21	29625075:29633929	29625075:29627096|29627444:29633929	ENSP00000366085|ENSP00000418090|ENSP00000420350	ENSP00000366088|ENSP00000366091|ENSP00000366095|ENSP00000366115|ENSP00000379929|ENSP00000379932|ENSP00000410866|ENSP00000417405	1	1	348	348
ENSG00000132185	FCRLA	1	+	13	15	161680703:161681724	161680703:161680998|161681265:161681724	ENSP00000309596|ENSP00000439838	ENSP00000236938|ENSP00000356930|ENSP00000356936|ENSP00000446380	1	1	267	267
ENSG00000130304	SLC27A1	19	+	7	10	17581517:17598269	17581517:17597372|17597767:17597983|17598145:17598269	ENSP00000469459	ENSP00000252595|ENSP00000413424	2	2	557	557
ENSG00000141052	MYOCD	17	+	4	5	12656664:12661402	12656664:12659731|12659875:12661402	ENSP00000341835	ENSP00000401678	1	1	144	144
ENSG00000105808	RASA4	7	-	9	16	102242853:102249208	102242853:102246305|102246435:102249208	ENSP00000428448	ENSP00000262940|ENSP00000412876|ENSP00000417395|ENSP00000420352|ENSP00000428732|ENSP00000430418	1	1	130	130
ENSG00000185760	KCNQ5	6	+	11	11	73834236:73900296	73834236:73839516|73834236:73843144|73839573:73843144|73843365:73879469|73879578:73900296	ENSP00000409861	ENSP00000345055|ENSP00000347326|ENSP00000359425	2	3	330	387
ENSG00000175471	MCTP1	5	-	13	18	94114869:94204038	94114869:94134718|94134838:94204038	ENSP00000391639	ENSP00000308957|ENSP00000423410|ENSP00000424126|ENSP00000426417	1	1	120	120
ENSG00000113407	TARS	5	+	12	16	33448838:33453394	33448838:33452446|33452545:33453394	ENSP00000265112|ENSP00000422130|ENSP00000424387	ENSP00000387710	1	1	99	99
ENSG00000175634	RPS6KB2	11	+	8	13	67200129:67200423	67200129:67200208|67200309:67200423	ENSP00000473485	ENSP00000308413	1	1	101	101
ENSG00000127152	BCL11B	14	-	3	3	99642533:99723808	99642533:99697682|99697895:99723808	ENSP00000280435	ENSP00000349723	1	1	213	213
ENSG00000236271	FLOT1	HSCHR6_MHC_MANN	-	10	17	30753808:30754621	30753808:30754088|30753808:30754136|30754179:30754266|30754342:30754621	ENSP00000388517	ENSP00000390909|ENSP00000396247|ENSP00000399313|ENSP00000403917|ENSP00000409995	2	2	119	167
ENSG00000136715	SAP130	2	-	5	5	128712919:128744359	128712919:128735559|128735664:128744359	ENSP00000259235	ENSP00000259234|ENSP00000350333	1	1	105	105
ENSG00000079819	EPB41L2	6	-	23	31	131188722:131206236	131188722:131190952|131188722:131190703|131191267:131206236|131191267:131199244|131199391:131201284|131201347:131206236	ENSP00000402041|ENSP00000434308	ENSP00000338481|ENSP00000357110|ENSP00000434576|ENSP00000436348|ENSP00000436641	1	3	315	774
ENSG00000133318	RTN3	11	+	11	14	63521181:63525628	63521181:63523584|63523643:63525628	ENSP00000340903	ENSP00000344106|ENSP00000348279|ENSP00000367050|ENSP00000440874|ENSP00000442733	1	1	59	59
ENSG00000102547	CAB39L	13	-	9	11	49913879:49924880	49913879:49918315|49918375:49924880	ENSP00000416719	ENSP00000261669|ENSP00000348113|ENSP00000386328|ENSP00000386375|ENSP00000387245	1	1	60	60
ENSG00000203832	NBPF20	1	-	4	4	148343809:148346582	148343809:148344640|148344743:148346582	ENSP00000358190	ENSP00000358189|ENSP00000358203|ENSP00000389520	1	1	103	103
ENSG00000133424	LARGE	22	-	15	19	33712235:33777905	33712235:33733632|33733788:33777905	ENSP00000336636|ENSP00000385223	ENSP00000347088|ENSP00000380549|ENSP00000388544|ENSP00000407917|ENSP00000476364|ENSP00000476415|ENSP00000476866	1	1	156	156
ENSG00000213614	HEXA	15	-	11	18	72643576:72647900	72643576:72645409|72645520:72646032|72646079:72647900	ENSP00000416187|ENSP00000457037	ENSP00000268097|ENSP00000455114|ENSP00000456489|ENSP00000457125|ENSP00000457521	2	2	158	158
ENSG00000233345	MSH5	HSCHR6_MHC_APD	+	8	13	31740747:31740997	31740747:31740881|31740912:31740997	ENSP00000401120	ENSP00000435784	1	1	31	31
ENSG00000179889	PDXDC1	16	+	14	18	15068662:15091610	15068662:15068744|15068831:15091610	ENSP00000454791	ENSP00000455613	1	1	87	87
ENSG00000125954	CHURC1-FNTB	14	+	4	4	65390845:65470967	65390845:65392728|65392799:65470967	ENSP00000449668|ENSP00000450692	ENSP00000447121	1	1	71	71
ENSG00000161381	PLXDC1	17	-	10	22	37235418:37239712	37235418:37235755|37235782:37239712	ENSP00000323927|ENSP00000409687	ENSP00000464353	1	1	27	27
ENSG00000129353	SLC44A2	19	+	10	15	10748606:10748903	10748606:10748699|10748770:10748903	ENSP00000466575	ENSP00000336888|ENSP00000385135|ENSP00000466664|ENSP00000468812	1	1	71	71
ENSG00000006625	GGCT	7	-	9	9	30536852:30540152	30536852:30537357|30536852:30538419|30537513:30540152|30538555:30540152	ENSP00000005374	ENSP00000275428|ENSP00000387235|ENSP00000470615	1	1	136	156
ENSG00000095637	SORBS1	10	-	18	22	97081779:97096278	97081779:97082503|97082563:97096278	ENSP00000277982|ENSP00000355136|ENSP00000360292|ENSP00000360293	ENSP00000360271	1	1	60	60
ENSG00000158987	RAPGEF6	5	-	11	15	130782397:130788747	130782397:130785716|130785740:130788747	ENSP00000311419|ENSP00000421684|ENSP00000425772	ENSP00000296859|ENSP00000309298|ENSP00000426081|ENSP00000426910	1	1	24	24
ENSG00000145016	KIAA0226	3	-	7	11	197411089:197420586	197411089:197417945|197418020:197420586	ENSP00000273582|ENSP00000296343|ENSP00000405115	ENSP00000374316|ENSP00000409618	1	1	75	75
ENSG00000145362	ANK2	4	+	17	25	114267179:114271384	114267179:114269432|114269465:114271384	ENSP00000422853	ENSP00000264366|ENSP00000349588|ENSP00000378044|ENSP00000421011|ENSP00000421023|ENSP00000421067|ENSP00000424722|ENSP00000426944|ENSP00000426994	1	1	33	33
ENSG00000204364	C2	HSCHR6_MHC_MANN	+	11	19	31940973:31943109	31940973:31941056|31941155:31941355|31941155:31943109|31941489:31943109	ENSP00000449940	ENSP00000364660|ENSP00000413482|ENSP00000449286|ENSP00000450336	1	2	99	233
ENSG00000215021	PHB2	12	-	9	14	7078741:7079359	7078741:7079119|7079227:7079359	ENSP00000382362|ENSP00000412856|ENSP00000438068|ENSP00000440317|ENSP00000441875	ENSP00000441662	1	1	108	108
ENSG00000151640	DPYSL4	10	+	3	6	134010606:134012355	134010606:134011919|134011988:134012355	ENSP00000357616|ENSP00000357618	ENSP00000339850	1	1	69	69
ENSG00000248099	INSL3	19	-	3	3	17927869:17932126	17927869:17931205|17931300:17932126	ENSP00000321724	ENSP00000369017	1	1	95	95
ENSG00000120694	HSPH1	13	-	7	8	31725329:31728770	31725329:31725746|31725880:31726989|31727089:31728770	ENSP00000388778	ENSP00000318687|ENSP00000369768|ENSP00000396090	2	2	234	234
ENSG00000198848	CES1	16	-	6	9	55840377:55846815	55840377:55844429|55844577:55844839|55844920:55846815|55844923:55846815	ENSP00000455902	ENSP00000353720|ENSP00000355193|ENSP00000390492	2	2	229	232
ENSG00000133627	ACTR3B	7	+	4	6	152522208:152551543	152522208:152549211|152549337:152550579|152550663:152551543	ENSP00000367007	ENSP00000256001|ENSP00000380452|ENSP00000446157	2	2	210	210
ENSG00000131771	PPP1R1B	17	+	6	10	37785484:37790136	37785484:37785793|37785816:37786225|37786301:37790136	ENSP00000462841	ENSP00000254079|ENSP00000377808|ENSP00000377810|ENSP00000462137|ENSP00000462522	2	2	99	99
ENSG00000071054	MAP4K4	2	+	12	18	102476327:102480283	102476327:102477287|102477449:102480283	ENSP00000343658|ENSP00000414766	ENSP00000313644|ENSP00000396066	1	1	162	162
ENSG00000082458	DLG3	X	+	4	10	69715304:69718370	69715304:69717030|69717072:69718370	ENSP00000363480	ENSP00000194900	1	1	42	42
ENSG00000231135	MDC1	HSCHR6_MHC_SSTO	-	8	11	30666680:30670637	30666680:30666791|30667583:30670637	ENSP00000405806	ENSP00000404318|ENSP00000449971	1	1	792	792
ENSG00000204179	PTPN20A	10	-	25	32	46552532:46587344	46552532:46564914|46552532:46584432|46565130:46567905|46565130:46587344|46568240:46584432|46584523:46587344	ENSP00000379072|ENSP00000420995	ENSP00000363335|ENSP00000363459|ENSP00000363462|ENSP00000363466|ENSP00000379071|ENSP00000379075|ENSP00000396009|ENSP00000403444|ENSP00000421921|ENSP00000422839|ENSP00000423819|ENSP00000424283|ENSP00000424491|ENSP00000425012|ENSP00000425362|ENSP00000425912|ENSP00000426355	1	3	91	642
ENSG00000188153	COL4A5	X	+	5	10	107938152:107939527	107938152:107938497|107938670:107939527	ENSP00000424845	ENSP00000331902|ENSP00000354505	1	1	173	173
ENSG00000101198	NKAIN4	20	-	4	9	61872859:61875376	61872859:61873891|61873976:61875376	ENSP00000359336	ENSP00000359330|ENSP00000359340	1	1	85	85
ENSG00000126001	CEP250	20	+	10	14	34061878:34064274	34061878:34063327|34061878:34062619|34062678:34063327|34063472:34064274	ENSP00000419137	ENSP00000341541|ENSP00000380661|ENSP00000400200|ENSP00000413827	1	2	145	204
ENSG00000065911	MTHFD2	2	+	7	10	74425870:74434831	74425870:74432832|74433017:74434831	ENSP00000419067	ENSP00000377617	1	1	185	185
ENSG00000101457	DNTTIP1	20	+	5	6	44434006:44439524	44434006:44437753|44437825:44439524	ENSP00000400573	ENSP00000361705|ENSP00000401024	1	1	72	72
ENSG00000162753	SLC9C2	1	-	2	5	173502937:173506081	173502937:173503623|173503822:173504969|173505089:173506081	ENSP00000445437	ENSP00000356687	2	2	319	319
ENSG00000029153	ARNTL2	12	+	8	9	27521346:27533180	27521346:27523101|27521346:27523062|27521346:27529279|27523164:27533180|27523164:27529279|27529321:27533180	ENSP00000261178|ENSP00000379238|ENSP00000438545|ENSP00000445836	ENSP00000266503|ENSP00000312247|ENSP00000400185|ENSP00000442438	1	2	42	144
ENSG00000079841	RIMS1	6	+	18	22	72993822:73001637	72993822:73000382|73000565:73001637	ENSP00000385649|ENSP00000411235|ENSP00000428367|ENSP00000429338|ENSP00000439730	ENSP00000428417	1	1	183	183
ENSG00000268188	HSD17B10	HG1433_PATCH	-	3	5	53174595:53174988	53174595:53174825|53174595:53174798|53174907:53174988	ENSP00000470902	ENSP00000471470|ENSP00000472168	1	1	82	109
ENSG00000162976	PQLC3	2	+	6	10	11304388:11315094	11304388:11312051|11312172:11315094	ENSP00000384129	ENSP00000295083	1	1	121	121
ENSG00000165521	EML5	14	-	6	9	89110856:89123720	89110856:89113291|89113300:89116256|89116271:89123720	ENSP00000298315|ENSP00000370039	ENSP00000451998	2	2	24	24
ENSG00000092929	UNC13D	17	-	9	17	73832338:73840302	73832338:73832420|73832511:73832653|73832778:73832882|73833000:73835920|73836024:73836099|73836192:73836306|73836411:73836588|73836658:73836843|73836912:73837038|73837083:73838514|73838695:73838938|73839005:73839095|73839155:73839240|73839348:73839565|73839601:73840302	ENSP00000466543	ENSP00000207549|ENSP00000388093	14	14	1272	1272
ENSG00000032389	TSSC1	2	-	8	14	3261227:3341788	3261227:3322628|3261227:3278110|3278191:3341788|3322730:3341788	ENSP00000371559|ENSP00000389080	ENSP00000381652|ENSP00000400214	1	1	81	102
ENSG00000114670	NEK11	3	+	12	19	130884364:130889617	130884364:130887674|130887782:130889617	ENSP00000411888	ENSP00000349389|ENSP00000372857|ENSP00000397180|ENSP00000421549|ENSP00000421851|ENSP00000423458|ENSP00000425114|ENSP00000426662	1	1	108	108
ENSG00000205250	E2F4	16	+	5	13	67226774:67228301	67226774:67226912|67226774:67227325|67227074:67227375|67227419:67228301	ENSP00000457239	ENSP00000368686|ENSP00000458082	1	2	94	206
ENSG00000175662	TOM1L2	17	-	10	14	17783058:17787948	17783058:17786019|17786178:17787948	ENSP00000438621	ENSP00000368818|ENSP00000464297	1	1	159	159
ENSG00000120265	PCMT1	6	+	10	11	150071093:150094274	150071093:150092298|150092403:150094274	ENSP00000438247	ENSP00000356348|ENSP00000356350|ENSP00000356354|ENSP00000420813	1	1	105	105
ENSG00000086696	HSD17B2	16	+	6	6	82069295:82104547	82069295:82101775|82101988:82104547	ENSP00000457943	ENSP00000199936|ENSP00000454931	1	1	213	213
ENSG00000197646	PDCD1LG2	9	+	2	2	5535051:5557618	5535051:5549335|5549605:5557618	ENSP00000380853	ENSP00000380855	1	1	270	270
ENSG00000104660	LEPROTL1	8	+	8	8	29962003:29994788	29962003:29989891|29990006:29994788	ENSP00000428281	ENSP00000412803	1	1	115	115
ENSG00000109062	SLC9A3R1	17	+	4	5	72745427:72764286	72745427:72758151|72758313:72759506|72759660:72763075|72763116:72764286	ENSP00000464321	ENSP00000262613	3	3	357	357
ENSG00000174373	RALGAPA1	14	-	7	19	36159210:36190894	36159210:36169368|36169509:36190894	ENSP00000302647|ENSP00000371803|ENSP00000374348	ENSP00000258840|ENSP00000451877	1	1	141	141
ENSG00000116478	HDAC1	1	+	3	11	32782384:32792540	32782384:32790080|32790155:32792540	ENSP00000407859	ENSP00000362649	1	1	75	75
ENSG00000111203	ITFG2	12	+	9	16	2922023:2929252	2922023:2926389|2926485:2927075|2927117:2927272|2927444:2929252	ENSP00000445769	ENSP00000228799	3	3	310	310
ENSG00000240505	TNFRSF13B	17	-	5	8	16852298:16875329	16852298:16855760|16855898:16875329	ENSP00000413453|ENSP00000462952|ENSP00000463582	ENSP00000261652|ENSP00000464069	1	1	138	138
ENSG00000085185	BCORL1	X	+	7	8	129162837:129171342	129162837:129168430|129168652:129171342	ENSP00000218147|ENSP00000352253|ENSP00000437775	ENSP00000307541|ENSP00000399483	1	1	222	222
ENSG00000103549	RNF40	16	+	9	13	30776821:30778062	30776821:30777700|30776821:30777484|30777604:30777700|30777880:30778062	ENSP00000350563	ENSP00000325677|ENSP00000455180	1	2	180	300
ENSG00000095303	PTGS1	9	+	5	5	125133552:125140712	125133552:125140178|125140295:125140712	ENSP00000411606	ENSP00000223423|ENSP00000354612	1	1	117	117
ENSG00000101146	RAE1	20	+	8	9	55943869:55948719	55943869:55948531|55948638:55948719	ENSP00000432698	ENSP00000360286|ENSP00000379181|ENSP00000379182|ENSP00000432609	1	1	107	107
ENSG00000197410	DCHS2	4	-	4	6	155287594:155298405	155287594:155295072|155295108:155298405	ENSP00000345062	ENSP00000349768	1	1	36	36
ENSG00000104325	DECR1	8	+	11	19	91013790:91031137	91013790:91029352|91029555:91031137	ENSP00000428701|ENSP00000429551|ENSP00000431045	ENSP00000220764	1	1	203	203
ENSG00000164659	KIAA1324L	7	-	9	13	86539318:86541388	86539318:86540938|86541012:86541388	ENSP00000297222|ENSP00000397377|ENSP00000402390|ENSP00000406961|ENSP00000413445	ENSP00000387496	1	1	74	74
ENSG00000171509	RXFP1	4	+	8	10	159549862:159560412	159549862:159554557|159554629:159559160|159559232:159560412	ENSP00000345889	ENSP00000303248|ENSP00000414885|ENSP00000420712|ENSP00000423306	2	2	144	144
ENSG00000113732	ATP6V0E1	5	+	4	4	172410968:172447241	172410968:172421778|172421826:172447241	ENSP00000265093	ENSP00000427941|ENSP00000429690	1	1	48	48
ENSG00000197217	ENTPD4	8	-	6	11	23243559:23291830	23243559:23261467|23261587:23291830	ENSP00000348536	ENSP00000430579	1	1	120	120
ENSG00000235708	COL11A2	HSCHR6_MHC_MCF	-	11	12	33319316:33324771	33319316:33322289|33319316:33323136|33319316:33323845|33319316:33322289|33322469:33323136|33322469:33324771|33322469:33323845|33323199:33323845|33323199:33324771|33323923:33324771	ENSP00000446870	ENSP00000388309|ENSP00000388775|ENSP00000447413|ENSP00000447511|ENSP00000447529|ENSP00000448124|ENSP00000448931|ENSP00000449993	1	3	63	321
ENSG00000134644	PUM1	1	-	19	24	31414971:31422980	31414971:31418193|31418331:31422980	ENSP00000433373	ENSP00000257075|ENSP00000362847|ENSP00000400141|ENSP00000435825	1	1	138	138
ENSG00000167613	LAIR1	19	-	15	24	54868576:54872523	54868576:54871629|54871680:54872523	ENSP00000301193|ENSP00000418998	ENSP00000319204|ENSP00000375622|ENSP00000375623|ENSP00000391003|ENSP00000412796	1	1	51	51
ENSG00000166960	CCDC178	18	-	12	14	30554646:30950014	30554646:30563245|30554646:30791860|30554646:30672725|30554646:30563245|30563317:30672725|30672875:30791860|30792020:30795514|30795660:30803070|30795660:30804739|30803184:30804739|30804901:30806757|30806820:30825209|30825393:30846880|30847017:30847166|30847262:30873123|30873277:30903455|30903598:30913138|30913359:30926175|30926376:30928854|30928940:30936288|30936311:30950014	ENSP00000462153	ENSP00000300227|ENSP00000372576|ENSP00000385234|ENSP00000385591|ENSP00000385867|ENSP00000462370|ENSP00000463254	14	16	1890	2112
ENSG00000028528	SNX1	15	+	11	14	64404884:64418278	64404884:64410316|64404884:64415702|64410444:64410987|64411054:64415702|64415746:64418278	ENSP00000452759	ENSP00000261889|ENSP00000326668|ENSP00000453567|ENSP00000453785	1	3	44	239
ENSG00000147050	KDM6A	X	+	8	12	44919402:44920569	44919402:44919854|44920010:44920569	ENSP00000367203|ENSP00000399980	ENSP00000398929	1	1	156	156
ENSG00000130558	OLFM1	9	+	11	12	137990352:138011350	137990352:137998595|137998702:138011350	ENSP00000437906	ENSP00000252854|ENSP00000360858|ENSP00000360861|ENSP00000443806	1	1	107	107
ENSG00000133619	KRBA1	7	+	7	11	149425767:149427237	149425767:149426279|149426305:149426307|149426461:149427237	ENSP00000317165|ENSP00000418647|ENSP00000420112	ENSP00000255992	2	2	180	180
ENSG00000206310	C6orf10	HSCHR6_MHC_QBL	-	2	2	32265224:32274982	32265224:32268825|32268846:32274982	ENSP00000382654	ENSP00000372749	1	1	21	21
ENSG00000198001	IRAK4	12	+	11	13	44162076:44165983	44162076:44165023|44165169:44165983	ENSP00000448197|ENSP00000449553|ENSP00000449693|ENSP00000449859	ENSP00000390651|ENSP00000446490	1	1	146	146
ENSG00000203797	DDO	6	-	3	3	110726154:110734494	110726154:110729537|110729646:110734494	ENSP00000436642	ENSP00000357920	1	1	109	109
ENSG00000130347	RTN4IP1	6	-	2	4	107031296:107067077	107031296:107035554|107035738:107040039|107040176:107050749|107050798:107067077	ENSP00000444261	ENSP00000358059	3	3	370	370
ENSG00000167612	ANKRD33	12	+	4	9	52282603:52283156	52282603:52282851|52282981:52283156	ENSP00000448116	ENSP00000301190	1	1	130	130
ENSG00000173567	GPR113	2	-	7	10	26536772:26568989	26536772:26537282|26537492:26539780|26539924:26540364|26540431:26568989	ENSP00000394162	ENSP00000327396|ENSP00000404775	3	3	421	421
ENSG00000169689	STRA13	17	-	6	11	79977258:79977734	79977258:79977517|79977258:79977386|79977258:79977517|79977571:79977734	ENSP00000302951|ENSP00000462015|ENSP00000464024	ENSP00000376168|ENSP00000463974|ENSP00000464357	1	1	54	185
ENSG00000205937	RNPS1	16	-	21	26	2304065:2312279	2304065:2305586|2305728:2312279	ENSP00000454513	ENSP00000301730|ENSP00000315859|ENSP00000380275|ENSP00000454461|ENSP00000455306|ENSP00000455379|ENSP00000456352|ENSP00000457110|ENSP00000457723|ENSP00000457820|ENSP00000457987	1	1	142	142
ENSG00000122034	GTF3A	13	+	5	9	28004759:28008276	28004759:28006868|28006942:28008276	ENSP00000389655	ENSP00000370532|ENSP00000393050	1	1	74	74
ENSG00000148700	ADD3	10	+	3	20	111890245:111893084	111890245:111892063|111892159:111893084	ENSP00000277900|ENSP00000353286	ENSP00000348381	1	1	96	96
ENSG00000174038	C9orf131	9	+	7	7	35041154:35042858	35041154:35042408|35042483:35042858	ENSP00000346472	ENSP00000393683	1	1	75	75
ENSG00000215883	CYB5RL	1	-	11	13	54640496:54649834	54640496:54644822|54645026:54649834	ENSP00000287899|ENSP00000443797	ENSP00000383825|ENSP00000409075|ENSP00000434343|ENSP00000438151	1	1	204	204
ENSG00000130590	SAMD10	20	-	2	4	62608760:62610730	62608760:62609598|62609715:62610730	ENSP00000358902	ENSP00000404839	1	1	117	117
ENSG00000169992	NLGN2	17	+	3	4	7312032:7317663	7312032:7315476|7315527:7317663	ENSP00000461092	ENSP00000305288|ENSP00000461168	1	1	51	51
ENSG00000225553	PHF1	HSCHR6_MHC_SSTO	+	8	13	33522310:33522755	33522310:33522400|33522495:33522755	ENSP00000407295	ENSP00000391901	1	1	95	95
ENSG00000214597	TMEM249	8	-	2	3	145577810:145578277	145577810:145577897|145577992:145578277	ENSP00000435362	ENSP00000381630	1	1	95	95
